komentar,cleaned,sentimen,emosi
"pdhal bisa di bilang hidup pelaku hampir sempurna punya orang tua dokter, pelaku dokter juga istri cantik orang berada ko bisa ya gak habis fikri",pdhal di bilang hiduelaku hampir sempurna punya orang tua laku dokter istri cantik orang ada ko ya gak habis,Netral,Lainnya
"Ya Tuhan, Jaga selalu Indonesia dari Orang ini 🙏🏻",jaga selalu indonesia orang,Negatif,Lainnya
Kebiri gakkk 🫵🤬,kebiri gak,Negatif,Marah
"Dalam islam Pentingnya adab sebelum ilmu adalah fondasi penting dalam menuntut ilmu, karena adab yang baik akan membuat ilmu yang diperoleh lebih bermanfaat dan berkah",islam pentingnydab ilmu fondasi penting dalaenuntut karendab baik buat ilmu oleh lebih bermanft,Netral,Marah
Gak cocok jadi dokter ini,gak k jadi dokter,Negatif,Lainnya
Moal lila sakedeng dei geu di gebugan ku .xxxxx. Biasana kasus pemerkosaan paeh di jero..🔥🔥,moaila sakedeng dei geu gebugan biasana kasus pemerkosn paeh,Negatif,Lainnya
"Kasian kalo sampe hamil, apalagi kalo ternyata masih perawan. Bayangin rasa sakit hati korban, org tua korban, dan suami korban kelak.",kasi kalo sampe kalo nyata bayangin rakit hati org tua suami korban,Negatif,Sedih
kmaren ilfiel liat film si walid .. eh ketambahan beginian😵😵,kmaren ilfieiat film si eh tambah begini,Negatif,Lainnya
Hanya bisa koment lnnalillahi wainnailaihi rojiun gak sehat ini dikter,bisa koment laliahi aiailaihi rojiun gak sehat,Netral,Lainnya
Loh... Sipitt... Jelas bukan islam. 😂 kalo islman kalo langsung pada heboh🤣🤣🤣,jelas bukan kalo islman kalo langsung heboh,Netral,Lainnya
periksa seluruhnya jangan cuma dia..,periksa seluruh jangan cuma,Negatif,Lainnya
"Napi senior sukamiskin, kalian tau harus apa.",napi senior kalian tau,Netral,Lainnya
Homok Njiiirr‼️🤬,homok nji,Netral,Marah
semoga dihukum mati org kek gini,moga dihukuati org kek,Netral,Lainnya
"Kita harus hati"" aja muka muka yg kaya gitu 😢",harus aja yg kaya gitu,Negatif,Sedih
Bdrs menangis liat ini 🥲,bdrs menang liat,Sedih,Sedih
"Tembak mati,dah aman negara dari manusia kek gini",tembak amaegara manusia kek,Negatif,Lainnya
Lah orang pinter yg keblinger .,lah orang pinter yg,Negatif,Lainnya
Satunya di sembunyiin kah?,satu sembunyn,Netral,Lainnya
"Sampe ada 3 korban yg sudah melapor, asli sih kasian bgt apalagi pas liat cctvy😭😭😭",sampe korban yg asli sih kasi bgt pas liat tvy,Negatif,Sedih
"ini hukumannya berapa tahun ya kira"", sepertinya..... ah sudahlah lanjutin sendiri para netizen",hukumaya berapa tahun ah sudah lanjutin sendiri,Negatif,Lainnya
JIRRRR CINAAA 😂,ji cina,Netral,Lainnya
Bnyk uang dan pendidikan tinggi gk menjamin seseorang bisa waras 🔥,bnyk uang pen tin gk jamin orang aras,Netral,Lainnya
Hukum seberat-beratnya. Mesti tanggung jawab🔥🔥🔥,hukum berat mesti tanung jaab,Negatif,Lainnya
Yah udah sekolah mahal mahal.kasian yang biayain🙈,yah udah kasi biayain,Negatif,Lainnya
Lapor damkar atau polisi nih?,lapor damkar polisi nih,Netral,Lainnya
@listyosigitprabowo Keadlian untuk KORBAN Pak,keadlian untuorban,Negatif,Lainnya
Ada 2 ??? 1 nya lg mana?????,nya lg mana,Negatif,Lainnya
1 nya lagi mana ?,nya mana,Negatif,Lainnya
Kebanyakan baca buku nih kayaknya pka dokter yg luarbiasa ini,banyak baca buku nih kayak pka dokter yg luarbiasa,Negatif,Lainnya
Bagaimana SOP rumah sakit yg membiarkan dokter berkeliaran di ruang rawat inap tanpa pendampingsn oleh suster jaga ya ???? @menkes.official @rs.hasansadikinbandung,bagaimana sop rumah sakit yg biar dokter liar ruang raat inap pendampingsn suster jaga,Negatif,Lainnya
Geleuh ah geleuh,geleuh ah,Negatif,Lainnya
Tolong ig ny dong...,ig ny,Negatif,Lainnya
Walid versi dokter,alid versi,Netral,Lainnya
KENAPA YANG DIBERITAKAN HANYA 1 ??,yang berita,Negatif,Lainnya
Ga cuma 1 pasti korbannya.,ga cuma,Netral,Lainnya
sekolah yang pinter biar jadi dokter,sekolah pinter biar jadi,Negatif,Lainnya
info IG nya mau silaturahmi 🥰🥰🥰,info ig nya mau silaturahmi,Negatif,Lainnya
Apa susah nya punya duit beli aja 😂,apa susah nya punya duit beli aja,Negatif,Lainnya
Kydu disuntik perkututnya biar ga bangun2,kydu suntik perknya biar ga,Negatif,Lainnya
"Sekolah tinggi2 mahal2 eh ujung2nya dipenjara, dong o!",sekolah tin mahal eh ujung dong o,Negatif,Lainnya
jir mahalnya lamanya capeknya sekolah dokter kalah sama nafsu sesaat😭 00n,jir mahal lama capek sekolah dokter kalah sama nafsu sest,Negatif,Sedih
Kaga pake hb lagi,kaga pake hb,Negatif,Lainnya
Gk kaget dokter muda mah,gaget dokter muda,Negatif,Lainnya
Ga mampu beli apa ya?,ga mampu beli apa,Negatif,Lainnya
Klo dokter seragam nya biru ya bukan oren,klo dokter seragam nya biru bukan,Negatif,Lainnya
@medyrenaldy mirip muka lu bang awokawok,mirip muka lu bang,Negatif,Lainnya
Kaya Sid di Ice Age,kaya sice,Negatif,Lainnya
Fetish nya ekstrim sih,fetish nya ekstrim,Netral,Lainnya
orang gila aja ga segila ini,oranilja ga gila,Negatif,Lainnya
Udah ketangkep?,udah ketangkep,Negatif,Lainnya
Keluarin dari univ. Boikot seluruh akses ke pendidikan. Bagus lagi penjaranya seumur hidup,keluarin boikot seluruh akses bagus penjara umur,Netral,Lainnya
"Gara² nafsu, hilang impian 🔥",gara hilang impi,Negatif,Lainnya
"Ga modal, beli aja beres pdhal",ga beli aja beres,Negatif,Lainnya
Ada yg pernah satu sekolah sama dia ga? Kek mana dia di sekolah?,yg pernah satu sekolah sama ga kek mana di sekolah,Negatif,Lainnya
"Masak dokter g punya pacar sihh,,, atau ada kelainan nihhh",masak dokter g punya,Negatif,Lainnya
Abis tuh sama penghuni bui 🔥,abis tuh sama huni bui,Negatif,Lainnya
Besok habis dr penjara pasti kumat lagi,besok habis dr penjara kumat,Netral,Lainnya
kasian orgtua nya gw si,kasi orgtua nya g,Negatif,Lainnya
Tumben pelaku ga disensor,tumben laku ga,Negatif,Lainnya
anak abah nih pasti kalo hal hal buruk gini (dengan nada sarkas),anak abah nih kalo buruk gin,Netral,Lainnya
Habis di penjara itu... 😢,habis penjara,Negatif,Sedih
Ga bs booking out cew??,ga bs bking out ce,Negatif,Lainnya
"Kalau dokter ga main ikat, tapi main bius",kalau dokter ga main ikaapi main,Negatif,Lainnya
Cape2 n mahal2 sekolah kedokteran.. Skrg smuanya sia2😢,cape n mahal sekolah skrg smuanya sia,Negatif,Sedih
Sudah pasti ini bukan yg pertama kali😂,pastni bukan yg pertama kali,Netral,Lainnya
Yang 1.nya mana? Blum di up kah,mana blum up,Negatif,Lainnya
dokter cabul😌,dokter cabul,Netral,Lainnya
Pasti Iki jenenge Dr .Sin #fakedocter,pastki jge sin,Netral,Lainnya
Yg satu lagi mana!? Kok cuma yg ini yg di up wajahnya,yg satu mana kok cuma yg yg up,Negatif,Lainnya
"Yg ketauan satu, yg gak ketauan",yg tau,Negatif,Lainnya
Bentar lagi bebas itu,bentar bebas,Negatif,Lainnya
Foto before after 🤣🤣,foto before after,Netral,Lainnya
Gue yakin ini bukan aksi dia yg pertama 😢,gue yaki bukan aksi yg pertama,Negatif,Sedih
Gmna dia ngambil jurusan dokter kandungan?,gmna ngambil jurus dokter kandung,Negatif,Lainnya
Tugel Konthole Empakna Lele,tugel kontholmpakna,Negatif,Lainnya
Orang orang pada kenapa sih😢,kenapa sih,Negatif,Sedih
Baca beritanya aja saya emosi !,baca beritanyja emosi,Marah,Marah
yakin bakal dipenjara tuhh bajingan???,yakin bakal penjara tu bajing,Netral,Lainnya
Sakit jiwa!!!! Proses jangan kasih ampun dalam bentuk apapun...,sakit jia proses jangan kasih ampun bentuk,Netral,Lainnya
Gw tuh jadi parno kalo ke dokter udha mah takut salah diagnosa takut salah obat dan ya takut ada pelecehan kek gini anjir,g tuh jadi parno kalo dokter udha mah takut salah diagnosa takut salah obat ya takut leceh kek gin,Takut,Marah
Dokternya pasti jago nyuntik nih... 😂,dokter jago nyuntik,Netral,Lainnya
Pintar saja gk cukup...,pintar gk,Netral,Lainnya
"Katanya 2orang, koq cuma 1 yg ditangkep?",kata koq cuma yg ditangkep,Negatif,Lainnya
Bro baru saja mempraktekan video jepang yang baru di liatnya 🔥🔥🔥,bro baru praktek video jepang baru liat,Negatif,Lainnya
"Nah ini bagus , yg di viralin muka tersangka , bukan korbannya 👏",nah bagus viralin muka sangka korbaya,Netral,Lainnya
Rumah sakitnya harus ikut bertanggung jawab,rumah sakit ikut bertanung,Negatif,Lainnya
🤢🤢🤢🤢🤢 NAJISSS ngrusak profesi dokter aja lu dongo tolol bego astaghfirullahaladzim,najis ngrusak profesi dokter aja lu dongo t bego,Netral,Lainnya
Dokter sakit jiwa...,dokter sakit,Netral,Lainnya
Padahal di aplikasi ijo bnyak😂,padahal aplikasjo bnyak,Negatif,Lainnya
"Masi ga faham, ini yg di perkaos si bapa ato anak nya yg cewe?",mas ga yg perkaoi bapto anak nya yg cee,Negatif,Lainnya
Ada balsem didalam?,balsem dalam,Netral,Lainnya
Baguskann gakk d sensorr gaesss😂😂👏,baguska ga d senso gaes,Netral,Lainnya
"wah wah, pasti terinspirasi oleh dokter² lulusan bangbross nih.",inspirasi dokter san bangbro,Netral,Lainnya
Yakin kasusnya 1,yakin kasus,Positif,Lainnya
Dokter gila ini mah ..😮,dokter gila,Negatif,Lainnya
Jangan biarkan lanjut jadi dokter,jangan biar lanjut jadi,Negatif,Lainnya
Kerjaan sudah OK.. Mau beli susah amat dok²,kerjn mau beli susah dok,Negatif,Lainnya
Segitu nya ga kuat nahan sange. Anjir laj,segitu nya ga kuat nahan anjir,Negatif,Marah
Yakin ini bukan yang pertama dia?,yaki bukan pertama,Netral,Lainnya
"Disebutkan pelaku ada 2, kok yg ditampilkan di publik hy 1?",sebut laku kok yg tampil publik hy,Negatif,Lainnya
"Untung si teteh nya ngelaporin, kalau jalur damai, pasti bakal ada korban lagi 😢😢",untung si h nya kalau jalur bakal korban,Negatif,Sedih
Hidden by Instagram,hien by,Negatif,Lainnya
Njir padahal michat banyak,njir padahal michat,Negatif,Lainnya
Bapak aing @dedimulyadi71 cek RSHS sudah 2 kasus dari meninggalnya Koas karena tekanan senior sampai kasus pemerkosaan .... Ada apa dengan RSHS.... 🔥🔥🔥🔥🔥,bapak aing cek rshudah kasus tal koas tek senior kasus adpa,Negatif,Lainnya
Wkwkwk gwe kira pribumi pelakunya 😂,k ge kira pribumi laku,Negatif,Lainnya
Orang ini GK tau ya kalau ada aplikasi micet??? Kok merkosa pasien!!!😂,orang gk tau kalau adplikasi micet kok merkosa pasien,Negatif,Lainnya
Kebiru tanpa bius👏,biru bius,Netral,Lainnya
capek² sekolah kedokteran cuman pengen nyicipin lubang.,capek sekolah dokter cuman pengeyicipin,Negatif,Lainnya
Tampang subscriber xhmaster premium,tampang subscriber xhmaster,Negatif,Lainnya
"Goblok, udah sekolah mahal malah dibui",udah sekolah mahal malah,Negatif,Lainnya
Ni dokter cwk apa cwk... kok dada nya menonjol😂😂,ni dokter ck apa kok nya tonjol,Negatif,Lainnya
Penjara seumur hidup bang @hotmanparisofficial masuk,penjara umur hidup bang,Negatif,Lainnya
Ini kalo pintar doang tapi sifat amburadul,kalo pintar doang sifat,Netral,Lainnya
"Sebejad ini kah petugas medisnya😢😢😢 smp di RS bisa memikirkan berbuat seperti inj😮😮😮.,hukum berat sj sb kl di hukum ringan keluar jg nga akan jera",sebejad kah tugas medis smp rs pikir buat sepertnj berat sj sb kl hukum ringan keluar jg ngkan,Negatif,Sedih
"jangan hanya tersangka,gelar pun harus dicabut🔥👏",jangan pun cabut,Negatif,Lainnya
Dok banyak loh cwek yg aplikasi kenapa harus pasien mu sia2 orang tuamu😢,dok banyak loh cek yg aplikasi harus pasien mu sia orang tua,Negatif,Sedih
Adab nya gmn itu madih sekolah aja dah gt ...gmn jd dokter beneran🔥🔥🔥,adab nya gmn madih sekolah aja dah gmn jokter beneran,Netral,Lainnya
"Jadi dokter itu bkn lagi karena pintar, siapapun yg punya uang bisa jadi dokter, makanya org2 yg gak mutu kek gini tdk tersaring 😂😂",jadi dokter bkn karena siun yg punya uang jadi makanya org yak mutu kek gin tdk saring,Netral,Lainnya
"gua yakin ini bukan yang pertama kali nya.. bukan hanya punya niat tuk ruda paksa, tapi tau sikon juga",gua yaki bukan pertama kali bukan punya niauk ruda tau sikon,Netral,Lainnya
Kbanyakan mksn babui...dr.sagapung,kbanyakan mksn,Negatif,Lainnya
Intinya Allah udah bukakan aibnya skrg karena niat buruknya sendiri sebelum terlanjur berbuat lebih jauh 🤯,intinyah udah bun aib skrg niat buruk sendiri lanjur buat lebih jauh,Negatif,Marah
Gw Baca nya Ingin Mutylashay ini Dokter,g baca nya mutylashay,Negatif,Lainnya
mukanya aja kayak b2 wkwk,mukanyja kayak b,Negatif,Lainnya
Mukanya kaya sperma,muka kaya,Negatif,Lainnya
Mukanye kek orang benerrr wkwk,mukanye kek orang bener,Netral,Lainnya
Ih najis bet setan,ih najis bet,Netral,Lainnya
mukanya kek org bener pdhl😢,muka kek org bener pdhl,Negatif,Sedih
Cabut sumpah dokter nya,cabut sumpah dokter,Netral,Lainnya
Izin praktiknya juga cabut biar miskin semiskin miskin nya,izin praktik cabut biar miskin se,Negatif,Lainnya
Yailah dok.. harga LC ga semahal biaya kuliah lu kocag.,yailah harga lc ga mahal biaya kuliah lu,Negatif,Lainnya
"Nah ini bener. Pampang muka pelaku, bukan korbannya. Semoga dihukum seberat-beratnya",nah pampang muka bukan moga hukum berat,Netral,Lainnya
apa nasibnya adik adik ppds dia 😢,apa nasibnydik adik ds,Negatif,Sedih
Dokter kok cabul amat yah pemikirannya,dokter kok cabul yah,Negatif,Lainnya
"Tolong teman"" yang di lapas kalau orang ini masuk sell di suruh c*ly pakai balsem ya..",yang lapas kalau orang masuk se suruh c ly pakai balsem,Negatif,Lainnya
Kasus² kaya gini tuh pelaku di bui di habis tuh di dagdug sama sama tahanan lain💪💥🔥,kasus kaya gin tuh laku bui habis tuh dagdug tah lain,Negatif,Lainnya
"Memang benar adanya,,,,diatas ilmu itu masih ada lagi yaitu ,,,ADAB!!!!",memang ilmu masih lagi,Negatif,Lainnya
Itu baru dokter sarap tuh,baru dokter sarap,Netral,Lainnya
"Gabisa lupa sama omongan satpam nya ""gimana enak gak habis digituin""",gabisa lupa sama omong satpam gimana enak gak habis,Netral,Lainnya
"Mukenye mirip RK, pemburu ikan asin.",mukenye mirip buru ikan,Netral,Lainnya
"31th tp kaya 41th 🥴 org mh jd dokter di pake yg bener,nah ini malah di pake gk bener😢,aku yg dulu pngn jd dokter bersedih melihat ini 😢",th tp kaya th org mh jokter pake yg malah pake gk bener yg dulu pngn jokter sedih lihat,Sedih,Sedih
Wibu sedang birahi,ibu sedang,Negatif,Lainnya
Penjara seumur hidup,penjara umur,Netral,Lainnya
Bro pikir dia Johny sins,bro pikir johny,Netral,Lainnya
Knpa kasusnya lagi2 dr. Anastesi.😢😢,knpa kasus,Negatif,Sedih
Ganteng tp berpenyakitan....yakin di sel pasti di balsemin tuh kontolnya,ganteng tp yakin sel di balsemin tuh,Netral,Lainnya
"Parahhh, gelar profesinya harusnya dicabut sih ini",gelar profesi harus cabut sih,Netral,Lainnya
"Foto dan benernya aja udah beda jauh, yg di foto masih lurus, pas pakai baju biru udah kontaminasi miras oplosan kyknya 🤦🏻‍♀️ itu oknum yaaa guys, gak semua nakes seperri itu, masih banyaaaaak yg sholeh sholehah 😊",foto benernyja udah beda yg foto pas pakai baju birdah kontaminasi miras oplos kyknya oknum gak semua banyak yg ah,Positif,Lainnya
"Sikopet nih, bahaya ni orang",sikopet bahaya ni,Negatif,Takut
Jangan2 istrinya korban pembiusan juga ? 😰,jangan istri korban bius,Negatif,Takut
@dr.tirta instansi mu ternodai pak,instansi mu noda,Netral,Lainnya
"Anak ga tau diri. Dah capek2 dibiayain sekolah di Padjajaran ehhhh....malah jadi Pejajaran. ""Pejajaran ente!! (logat Wan Abud sang duyung hunter)"".",anak ga tau dah capek dibiayain sekolah padran malah jadi peran ente,Negatif,Lainnya
Najis banget amit amit tolooll,najis banget,Negatif,Lainnya
Tmpnya sih sperti pnji..eee g taunya iblis😮,tmpnya sih sperti e g tau iblis,Negatif,Lainnya
Siap2 pantat bernapas lega ketika sudah di dalam lapas,siap pantat napas lega sudah dalam,Negatif,Lainnya
Udh keliatan dari mukanya nih orang ga bener,udh liat muka nih orana,Netral,Lainnya
Mm cwe nya pasti cina jg,ce nya cina,Netral,Lainnya
Pasti hancur bgt perasaan bapaknya💔🥹🤧,hancur bgt perasn bapak,Netral,Lainnya
"Sekolah tinggi2 lama lg supaya tercapai,eeee karna tergiur apam,ludes lah sekolah tinggi td,,,dokter bentuk wajah juga sangar",sekolah tin lama lg karna giur lah sekolah bentuk ajah,Negatif,Lainnya
Perbaiki dulu tappa tappamu ces 🤧,baik dulu mu ces,Netral,Lainnya
Naudzubillahi mindzalik 😢,naudzubiahi mindzalik,Negatif,Sedih
Ya Allah dok tinggal buka michat susah amat.. Mau gaya helikopter da suasana outdoor. Mau di toilet bisa aja. Asal pk kndom ya,yah dok tal buka michat susah mau gaya helikopter da suasana mau toilet bisjsal pndom,Netral,Lainnya
Parah sih ini,parah sih,Netral,Lainnya
Semoga dirudapaksa juga dia dipenjara,moga rudapaksa dia,Netral,Lainnya
Ihh jijik 🤮 slide terakhir.,i k slide,Netral,Lainnya
Aya Aya wae duh serem,ae duh,Negatif,Lainnya
Anjirr ilmu kedokteran nya di salah gunakan😢,anji ilmu kedokteraya salah guna,Negatif,Marah
Ada aja ide nya hanya buat pengen ngens,adja ide nya buat,Negatif,Lainnya
Demi nafsu menghancurkan karir 🔥🔥🔥😂,nafsu hancur karir,Negatif,Lainnya
Padahal di pinggiran jalan banyak yang cantik++ murah ini malah merkosa pasien 😢astaghfirullah,padahal pir jalan banyak cantik murah malah merkosa pasien,Negatif,Sedih
Hah udah nikah????😮,hah udah nikah,Netral,Lainnya
Jgn2 bnyk yg begitu d kedokteran ups 😮,jgn bnyk yg d dokter ups,Negatif,Lainnya
Gak kebayang traumanya korban gimana ya allah 😭😭😭,gaebayang trauma korban gimana yah,Negatif,Sedih
"Hah ? Lulusan universitas kristen Maranatha? Junior gw berarti ni orang, mencoreng nama almamater Maranatha",hah san universitas kristen maranatha junior g arti ni coreng namlter,Negatif,Lainnya
"Ya elaah bang udh kuliah di universitas bagus, jurusan kedokteran pula.. lu malh coreng nama baik lu sndri.. sayang banget daah",elh bang udh kuliah universitas jurus dokter lu malh coreng nama baik lu sayang banget,Netral,Lainnya
Sekolah tinggi2 n mahal2 ga kuat nahan ngeuwe.. satpam nya juga,sekolah tin n mahal ga kuat satpam nya,Negatif,Lainnya
"ini baru bener,wajah pelaku terpampang jelas di smua sosial media.wajah korban tidak d nampakkan",baru laku pampang jelas smua sosial korban d,Netral,Lainnya
"asik jejak digital , jgn sampe terkubur gais",asik jejak digital sampe kubur,Netral,Lainnya
Walid juga minder liatnya,alid minder,Negatif,Lainnya
Beli pelacur mahal kah ?,beli lacur mahal,Netral,Lainnya
"أستغفر الله
Malu2in sayang banget bang bang hilang sudah profesi lu seumur hidup dalam sekejap 😢😢😢",maluin sayang banget hilang profesi lu umur hidup kejap,Negatif,Sedih
"Bingung aku tu, kuliah kedokteran tu mahal, dan sulit bukan? Masih ada waktu buat bikin kriminal",bingung aku kuliah dokter tu sulit bukan ada aktu buat bikin,Negatif,Lainnya
Kaya nya sudah beberapa korban nih...ga mungkin 1..,kaya nya rapa ga mungkin,Negatif,Lainnya
"Cape"" sekolah kedokteran bukan nya ending nya pake baju putih malah baju orange😅 tapi beda sama suami aku tiap kali minta jatah ke suami selalu bentar doang,sebel deh😓",sekolah dokter bukaya ending nya pake baju putih malah baju orange beda sama suami aku tiap kali minta jatah suami selalu bentar deh,Negatif,Marah
Saaakkiiii111tttt jjjiiiwwaaaa andaaaaaa 😡,sa ji and,Negatif,Marah
katanya aku baca di komen ini. satpam rumah sakit verbal abuse ke korban? klu benar satpam nya harus di pecat dan di tangkap juga. kebiasaan itu. identitas nya juga harus disebarkan biar dapat sanksi sosial juga,katanyku baca komen satpam rumah sakit verbal abuse korban klu benar satpam nya di pecat di tangkap kebiasn identitas nya harus sebar biar sanksi sosial,Negatif,Lainnya
Satpamnya tuh juga benerin,satpam tuh,Netral,Lainnya
Banyak oknum dokter begini. Jd kita hrs pintar2 jg diri utamanya wanita,banyak oknum dokter jd hrs pintar jg diri utama,Netral,Lainnya
Sayang banget dengan anestesi nya 🥲 jadi bikin orang takut kalau ada tindakan yang harus op,sayang banget dengestesi nya jadi bikin orang takut kalau tindak harus,Takut,Takut
Mencoreng nama dokter gasi? Nanti masyarakat bkal berasumsi yg ngga ngga jg ke nakes😢😢😢,coreng nama dokter gas masyarakat bkal asumsi yg jg nakes,Negatif,Sedih
Kudu malu 7 turunan 🙌,kudu malu turun,Netral,Lainnya
Ngerinya😢. Sebegitu bejatnya kah manusia skrang? Melebihi hewan😢,ngeri begitu bejat manusia skrang lebih hean,Negatif,Sedih
Lebaran skolah tinggi2 cape² jd dokter haduh eleh ku hawa nafsu,lebaran skolah tin cape jokter haduh eleh ku haa,Negatif,Lainnya
Hukum berat sdh menghancurkan masa depan korban,hukum berat sdh hancur masa depan,Negatif,Lainnya
Pan ges boga pamajikan cenah .tapi hyang we kanu lain,pan ges boga pamajikan hyang e kanu,Negatif,Lainnya
masih punya muka ga ya istrinya sama keluarga2nya,punya muka ga istri sama,Negatif,Lainnya
Muka cupu trnyta cabulll,muka cupu trnyta,Netral,Lainnya
Tebak agama?,tebak agama,Negatif,Lainnya
Dasar Cina Goblok...😂😂😂,dasar cina,Negatif,Lainnya
Malu2in marnat anjeng... Usut tuntas!!!,maluin marnat usuuntas,Negatif,Lainnya
Tar jg dipake ama napi lain dia 😂,tar jg dipake ama napi dia,Negatif,Lainnya
Wajar...tempat kuliah nya juga sama...,tempat kuliah nya,Negatif,Lainnya
"Aku pernah operasi, gak ada persetujuan kateter urin. Bangun2 operasi udh ada kepasang aja shick shack shock. Jd ovt😢",aku pernah gak tuju kar bangun operasi udh pasang aja shick shack jd ovt,Negatif,Sedih
Bikin malu gelar dan kampus nya😢,bikin malu gelar kampus nya,Negatif,Sedih
Ya ellah sekelas dokter bisa kali pake cwe bayaran bobo di hotel... Ampun dah,eah kelas dokter kali pake ce bayar ampun,Netral,Lainnya
"dokter bisa sakit jg trnyata 😂 napsu yg gk d salurkan atau emg pysco , krn yg d trgetkan kenapa k penunggu pasien . tlong di cek itu kejiwaan dokter ituu 😑",dokter bikit jg trnyata napsu yk d salur emg pysco yg d trgetkan k tunu tlong cek jin dokter it,Netral,Lainnya
Perasaan mahasiswa UNPAD kenapa jadi KRISTEN MARANATHA ? jangan edit tapi menjatohkan universitas lain donk,perasn mahasisa unpad jadi kristen maranatha jangan ediapi menjatohkan universitas,Negatif,Lainnya
"dokter cabul ini mah,/gila kali, sekolah tinggi2 jd dokter, kaga bisa liat apem dikit,. Masya Allah karir luh hancur brantakan gara2 apem. 😢",dokter cabul gila sekolah tin kaga liat masyah karir luancur brantakan gara,Negatif,Sedih
Bikin malu Kampus Kristen aja ini orang,bikin malu kampus kristen aja,Negatif,Lainnya
"Jangan2 ini bukan pertama kalinya pelaku begitu, cuma ini yg ketahuan… Semoga pelaku segera ditamgkap 🙏🏻",jangan bukan pertama kali laku cuma yg tahu moga laku segera ditamgkap,Positif,Lainnya
Sangat di sayangkan sekali ya....,sangat sayang sekali,Netral,Lainnya
"Perlu perbaikan sop supaya ga segitu gampang nya akses ke obat bius, aborsi atau obat dgn efek serupa.. percuma kalau tidak diperbaiki bisa ada kemungkinan terulang, jgn cuma dokter nya yg diperiksa",perlu baik sop ga segitu gampang nykses obat aborsi obat dgn efek percuma kalau baik bisda mungkin jgn cuma dokter nya yg,Netral,Lainnya
@vadammm_ yg katanya berpendidikan.,yg kata,Negatif,Lainnya
Anestesi lg....kmrn kasus di Semarang jg dokter anestesi.,anestesi kmrn kasus semarang jg dokter,Negatif,Lainnya
Dageeeee sega nai bayo on...,dage sega nai,Negatif,Lainnya
Nah udh tau belum😢 @dtayrinx @melzanurazizah @_kaika3 @virvir09 @itshziia,nah udh tau belum,Negatif,Sedih
"Bu ibu😭,sifat paksu kalian dulu sama hbs punya anak beda gak si?😓soalnya paksu ku sikapnya beda bgt hbs pnya anak😓katanya setelah menyusui PYD ku jd kendur dan kcl😓jujur aq g tau lagi harus gmn dn bingung bgt😭ada yg tau solusi biar PYD kncng dan gde lagi ?",bu ibu paksu kalian dulu sama hbs punynak beda gak si soal paksu ku sikap beda bgt hbs pnynak kata susu pyd ku jd kendur kcl r aq g tau harus gmn dn bingung bgt ada yg tau solusi biar pyd kncng gde,Negatif,Sedih
Siapa pelaku satunya? Harus ditangkap. R2 ga mungkin seberani ini. Apa ada role modelnya di sana?,siapa laku satu r ga mungkin apda role model sana,Netral,Lainnya
Gw pikir blom nikah,g pikir blom,Negatif,Lainnya
baca ndri @indrie_wn,baca ndri,Netral,Lainnya
Waduuh anak marnat,adh anak,Netral,Lainnya
Bibir aja miring nih orang,r aja miring nih,Negatif,Lainnya
Kurang apa sampe harus perkaos2 segala???,kurang apa sampe kaos segala,Negatif,Lainnya
gila sih ini,gila sih,Negatif,Lainnya
wong2 ngene ki sing marai2 pokok e,ong ngene ki sing mara p,Negatif,Lainnya
Malu2 in aja hadeh,malu in aja,Negatif,Lainnya
Malu2in bgt 🔥🔥,maluin bgt,Negatif,Lainnya
Gak kebayang traumanya korban😢😢😢,gaebayang trauma korban,Negatif,Sedih
Muka mukanya mirip RK 😮,nya mirip rk,Netral,Lainnya
Doi udah nikah ? Udah punya anak blm ?,doi udah nikah udah punynak blm,Netral,Lainnya
Viralkan ayoo wahai netizen 🔥,viralkan ay ahai netizen,Netral,Lainnya
"Apa gak malu keluarganya tuh, apalagi jejak digital sepajang masa.",apa gak malu keluarga jejak digital pajang,Negatif,Lainnya
"Kenapa ga jajan aja sih dok, nyari perkara gini mh sayang karier",ga n aja sih nyari perkara gin mh sayang,Netral,Lainnya
Jangan ada kata damai 🔥🔥🔥,jangan kata damai,Negatif,Lainnya
Nah gt donk jgn di blur wajahnya,nah gt donk jgn blur,Negatif,Lainnya
Ish dokter apaan gini,ish dokter apn,Negatif,Lainnya
Mencoreng nama kampus 😢 kasian sejawatnya yg lain dn residen yg lain ikut trcoreng,coreng nama kampus kasi jaat yg dn residen yg,Negatif,Sedih
"Kayak gini diterima PPDS, giliran miskin berprestasi kagak ketrima 😂",kayak gin terima gilir miskin prestasi kagaetrima,Negatif,Lainnya
Susah2 masuk ppds eh udh jadi ppds bukannya sekolah yg bener ini malah mencoreng profesi dokter 😪😤,susah masuk ds eh udh jadi ds bukaya sekolah yg bener malah coreng profesi dokter,Negatif,Lainnya
Penjahat kelamin ternyata!,jahat kelamin nyata,Positif,Lainnya
Pengen ngasih salam olah raga boleh gak,pengegasih salam olah raga,Netral,Lainnya
Ada videonya gak? Pengen liat kronologisnya,video gak ken liat,Negatif,Lainnya
harus diliput media luar negeri sih ini👏,liput media luar negeri sih ini,Negatif,Lainnya
Klo masalah itu kenapa g cari dokter perempuan sih..,klo masalah kenapa g cari dokter perempuan,Negatif,Lainnya
